numero,link,tribunal,tipo_participacao,nome_parte
1000595-21.2022.8.26.0451,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000QRYY0000&processo.foro=451&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Industrias Ltda
1013274-24.2020.8.26.0451,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000O9JA0000&processo.foro=451&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Insdústrias Ltda
1021559-79.2015.8.26.0451,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000DF0V0000&processo.foro=451&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca-Cola Industrias Ltda
1012307-86.2014.8.26.0451,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000C3DQ0000&processo.foro=451&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,COCA-COLA FEMSA BRASIL
1000847-53.2025.8.26.0472,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=D4000451A0000&processo.foro=472&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Insdústrias Ltda
1019725-79.2023.8.26.0477,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=D9000KTWW0000&processo.foro=477&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Exeqte,"Spal Indústria Brasileira de Bebidas S/A ""coca Cola Femsa"""
1015603-28.2020.8.26.0477,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=D9000CVY40000&processo.foro=477&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
0013682-86.1999.8.26.0477,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=D9Y2R0AK20000&processo.foro=477&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Indiciado,A Apurar - Representante da Coca Cola - Ip 69/99
1005836-43.2023.8.26.0482,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=DE000CNLR0000&processo.foro=482&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,TerIntCer,Coca Cola Femsa Brasil (SPAL)
0019785-02.1996.8.26.0482,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=DEY2O0F9L0000&processo.foro=482&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Indiciado,Repres. Coca Cola do Brasil
1000563-40.2025.8.26.0506,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=E2000TCYP0000&processo.foro=506&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Indústrias Ltda.
1034043-43.2024.8.26.0506,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=E2000S6SO0000&processo.foro=506&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
1009549-85.2022.8.26.0506,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=E2000MUYT0000&processo.foro=506&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Rio de Janeiro Refrescos Ltda - Coca-Cola
0061939-50.2002.8.26.0506,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=E2Z10EZ820000&processo.foro=506&paginaConsulta=4&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
